# Morel and Maritorena, 2001
# Bio-optical properties of oceanic waters: A reappraisal
lambda Kw chi e
350 0.02710 0.15300 0.77800
355 0.02380 0.14900 0.76700
360 0.02160 0.14400 0.75600
365 0.01880 0.14000 0.73700
370 0.01770 0.13600 0.72000
375 0.01595 0.13100 0.70000
380 0.01510 0.12700 0.68500
385 0.01376 0.12300 0.67300
390 0.01271 0.11900 0.67000
395 0.01208 0.11800 0.66000
400 0.01042 0.11748 0.64358
405 0.00890 0.12066 0.64776
410 0.00812 0.12259 0.65175
415 0.00765 0.12326 0.65555
420 0.00758 0.12269 0.65917
425 0.00768 0.12086 0.66259
430 0.00770 0.11779 0.66583
435 0.00792 0.11372 0.66889
440 0.00885 0.10963 0.67175
445 0.00990 0.10560 0.67443
450 0.01148 0.10165 0.67692
455 0.01182 0.09776 0.67923
460 0.01188 0.09393 0.68134
465 0.01211 0.09018 0.68327
470 0.01251 0.08649 0.68501
475 0.01320 0.08287 0.68657
480 0.01444 0.07932 0.68794
485 0.01526 0.07584 0.68903
490 0.01660 0.07242 0.68955
495 0.01885 0.06907 0.68947
500 0.02188 0.06579 0.68880
505 0.02701 0.06257 0.68753
510 0.03385 0.05943 0.68567
515 0.04090 0.05635 0.68320
520 0.04214 0.05341 0.68015
525 0.04287 0.05072 0.67649
530 0.04454 0.04829 0.67224
535 0.04630 0.04611 0.66739
540 0.04846 0.04419 0.66195
545 0.05212 0.04253 0.65591
550 0.05746 0.04111 0.64927
555 0.06053 0.03996 0.64204
560 0.06280 0.03900 0.64000
565 0.06507 0.03750 0.63000
570 0.07034 0.03600 0.62300
575 0.07801 0.03400 0.61500
580 0.09038 0.03300 0.61000
585 0.11076 0.03280 0.61400
590 0.13584 0.03250 0.61800
595 0.16792 0.03300 0.62200
600 0.22310 0.03400 0.62600
605 0.25838 0.03500 0.63000
610 0.26506 0.03600 0.63400
615 0.26843 0.03750 0.63800
620 0.27612 0.03850 0.64200
625 0.28400 0.04000 0.64700
630 0.29218 0.04200 0.65300
635 0.30176 0.04300 0.65800
640 0.31134 0.04400 0.66300
645 0.32553 0.04450 0.66700
650 0.34052 0.04500 0.67200
655 0.37150 0.04600 0.67700
660 0.41048 0.04750 0.68200
665 0.42947 0.04900 0.68700
670 0.43946 0.05150 0.69500
675 0.44844 0.05200 0.69700
680 0.46543 0.05050 0.69300
685 0.48642 0.04400 0.66500
690 0.51640 0.03900 0.64000
695 0.55939 0.03400 0.62000
700 0.62438 0.03000 0.60000
