K. F. Palmer and D. Williams, "Optical properties of water in the near
infrared," J. Opt. Soc. Am., 64, 1107--1110, (1974).

lambda	 absorption
 (nm) 	   (1/cm)   
2632	 193
2564	 111
2500	 95.7
2439	 63.5
2381	 41.8
2326	 29.3
2273	 23
2198	 19.3
2128	 23.6
2083	 31
2041	 45
2000	 69.2
1961	 109
1927	 124
1887	 57.5
1852	 10.8
1818	 9.44
1802	 9.48
1786	 9.18
1754	 7.6
1724	 6.23
1695	 5.65
1667	 5.65
1639	 6.07
1613	 6.8
1587	 8.07
1563	 9.68
1538	 12.1
1515	 15.6
1493	 21.7
1471	 28.5
1443	 31.7
1429	 31
1408	 21.5
1389	 9.13
1370	 5.45
1351	 3.87
1333	 2.25
1316	 1.67
1299	 1.34
1282	 1.13
1266	 1.07
1250	 1.11
1235	 1.17
1220	 1.22
1205	 1.25
1190	 1.25
1176	 1.23
1163	 1.18
1149	 0.97
1136	 0.548
1124	 0.323
1111	 0.232
1099	 0.192
1087	 0.166
1070	 0.148
1053	 0.164
1042	 0.19
1031	 0.231
1020	 0.285
1010	 0.351
1000	 0.416
990	 0.469
980	 0.502
973	 0.514
962	 0.471
952	 0.322
943	 0.214
935	 0.158
926	 0.119
909	 0.075
893	 0.0609
877	 0.0506
862	 0.0428
847	 0.0387
833	 0.0308
820	 0.0199
813	 0.0191
806	 0.0195
794	 0.021
781	 0.023
769	 0.0251
758	 0.0272
752	 0.0281
746	 0.0275
735	 0.0238
725	 0.0134
714	 0.0098
702	 0.0069
690	 0.0049
