# Source: K. Bogumil, J. Orphal, and J. P. Burrows
# University of Bremen - Institute of Environmental Physics
# P. O. Box 33 04 40
# D-28334 Bremen, Germany
# e-mail: Konstanze.Bogumil@iup.physik.uni-bremen.de
# SIGMA = (C0 + C1*(T-T0) + C2*(T-T0)^2) * 1.E-20 cm^2
# where T0 = 273.15 and T is in Kelvin
#
# wavelength
# (air nm)         C0          C1(T-T0)         C2((T-T0)^2)
   230.0      4.53403e+02     -8.75813e-02     -1.80604e-03
   230.1      4.46753e+02     -2.72885e-02      3.17740e-03
   230.2      4.50073e+02     -3.62279e-02      2.92553e-03
   230.3      4.56776e+02     -5.97562e-02      1.06550e-03
   230.4      4.61071e+02     -4.08224e-02      1.24303e-03
   230.5      4.66115e+02      1.01215e-03      1.94321e-03
   230.6      4.71335e+02      5.69058e-03      9.57246e-05
   230.7      4.74726e+02     -1.20124e-01     -2.60692e-03
   230.8      4.75331e+02     -2.62218e-01     -2.51785e-03
   230.9      4.75473e+02     -8.63716e-02      4.11156e-04
   231.0      4.81625e+02     -2.95554e-02      1.04505e-03
   231.1      4.87901e+02     -2.09888e-03      1.33213e-03
   231.2      4.88875e+02      1.68906e-01      3.07140e-03
   231.3      4.95300e+02     -3.65288e-02     -1.00059e-03
   231.4      4.99068e+02     -1.08894e-01     -2.21971e-03
   231.5      4.99102e+02      7.74839e-02      1.49909e-03
   231.6      5.00787e+02      1.80168e-01      4.14220e-03
   231.7      5.02146e+02      1.16143e-01      3.15123e-03
   231.8      5.08687e+02     -1.26211e-02      2.38215e-04
   231.9      5.15287e+02     -5.33420e-02     -1.30519e-03
   232.0      5.14995e+02      1.27580e-02     -3.54455e-04
   232.1      5.19616e+02     -3.79022e-02     -4.96891e-04
   232.2      5.25290e+02     -9.62571e-02     -1.10382e-03
   232.3      5.29763e+02     -8.84602e-02     -1.23303e-03
   232.4      5.34562e+02     -4.86571e-02     -6.21733e-04
   232.5      5.35266e+02      4.67154e-02      1.44816e-03
   232.6      5.37863e+02      4.97635e-02      9.44176e-04
   232.7      5.43999e+02     -3.49137e-02     -1.34758e-03
   232.8      5.48987e+02     -4.89765e-02     -1.05035e-03
   232.9      5.51921e+02      2.82594e-02      3.53396e-04
   233.0      5.54718e+02      5.76956e-02      1.19457e-03
   233.1      5.58530e+02     -2.67972e-02      2.45378e-04
   233.2      5.62788e+02     -9.68375e-02     -1.29513e-03
   233.3      5.66515e+02      6.12352e-02      1.18727e-03
   233.4      5.69739e+02      6.49024e-02      1.21467e-03
   233.5      5.72512e+02     -8.27422e-02     -1.43013e-03
   233.6      5.75175e+02     -6.80933e-02     -1.28308e-03
   233.7      5.79036e+02     -9.65464e-02     -1.32444e-03
   233.8      5.82629e+02     -6.59630e-02     -6.24055e-04
   233.9      5.85608e+02      5.33848e-03      3.03783e-05
   234.0      5.89273e+02     -1.81257e-02     -1.23903e-03
   234.1      5.93946e+02     -4.11089e-02     -2.03111e-03
   234.2      5.97899e+02     -4.16935e-02     -1.47148e-03
