#MIDLATITUDE SUMMER (McClatchey et al., 1972, Environ. Res. Pap. 411) 
# zd(km), press(hPa), temper(K), air(#/cm^3), o3(#/cm^3), o2(#/cm^3), h2o(#/cm^3), co2(#/cm^3), no2(#/cm^3)
   100.000    0.00030 210.000 1.043686E+13 5.395033E+05 0.000000E+00 3.342783E+07 0.000000E+00 0.000000E+00
    70.000    0.06710 218.000 1.399791E+15 1.079007E+09 0.000000E+00 4.679896E+09 0.000000E+00 0.000000E+00
    50.000    0.95100 276.000 1.985508E+16 5.395034E+10 0.000000E+00 2.105953E+11 0.000000E+00 0.000000E+00
    45.000    1.76000 270.600 3.667512E+16 1.631057E+11 0.000000E+00 6.351287E+11 0.000000E+00 0.000000E+00
    40.000    3.33000 258.000 6.950948E+16 5.144102E+11 0.000000E+00 1.437397E+12 0.000000E+00 0.000000E+00
    35.000    6.52000 245.000 1.360758E+17 1.154286E+12 0.000000E+00 3.677061E+12 0.000000E+00 0.000000E+00
    30.000   13.20000 234.000 2.759505E+17 2.509318E+12 0.000000E+00 1.203402E+13 0.000000E+00 0.000000E+00
    25.000   27.70000 224.000 8.950650E+17 3.763977E+12 0.000000E+00 2.239664E+13 0.000000E+00 0.000000E+00
    24.000   32.20000 223.000 1.046608E+18 4.014909E+12 0.000000E+00 2.005670E+13 0.000000E+00 0.000000E+00
    23.000   37.60000 222.000 1.224661E+18 4.265840E+12 0.000000E+00 1.805103E+13 0.000000E+00 0.000000E+00
    22.000   43.70000 220.000 1.434442E+18 4.516772E+12 0.000000E+00 1.704819E+13 0.000000E+00 0.000000E+00
    21.000   51.00000 219.000 1.681587E+18 4.516772E+12 0.000000E+00 1.704819E+13 0.000000E+00 0.000000E+00
    20.000   59.50000 218.000 1.973192E+18 4.265840E+12 0.000000E+00 1.504252E+13 0.000000E+00 0.000000E+00
    19.000   69.50000 217.000 2.316982E+18 4.014909E+12 0.000000E+00 1.637964E+13 0.000000E+00 0.000000E+00
    18.000   81.20000 216.000 2.724020E+18 3.513045E+12 0.000000E+00 1.671391E+13 0.000000E+00 0.000000E+00
    17.000   95.00000 216.000 3.204115E+18 3.011182E+12 0.000000E+00 1.871958E+13 0.000000E+00 0.000000E+00
    16.000  111.00000 216.000 3.751007E+18 2.634784E+12 0.000000E+00 2.139381E+13 0.000000E+00 0.000000E+00
    15.000  130.00000 216.000 4.391830E+18 2.383852E+12 0.000000E+00 2.540515E+13 0.000000E+00 0.000000E+00
    14.000  153.00000 216.000 5.143283E+18 2.258386E+12 0.000000E+00 3.342783E+13 0.000000E+00 0.000000E+00
    13.000  179.00000 216.000 6.015805E+18 1.881989E+12 0.000000E+00 6.017009E+13 0.000000E+00 0.000000E+00
    12.000  209.00000 222.000 6.823618E+18 1.505591E+12 0.000000E+00 2.005670E+14 0.000000E+00 0.000000E+00
    11.000  243.00000 229.000 7.708663E+18 1.380125E+12 0.000000E+00 7.354122E+14 0.000000E+00 0.000000E+00
    10.000  281.00000 235.000 8.681379E+18 1.129193E+12 0.000000E+00 2.139381E+15 0.000000E+00 0.000000E+00
     9.000  324.00000 242.000 9.745939E+18 1.079007E+12 0.000000E+00 4.011339E+15 0.000000E+00 0.000000E+00
     8.000  372.00000 248.000 1.090652E+19 9.911805E+11 0.000000E+00 7.019844E+15 0.000000E+00 0.000000E+00
     7.000  426.00000 255.000 1.216938E+19 9.409943E+11 0.000000E+00 1.236830E+16 0.000000E+00 0.000000E+00
     6.000  487.00000 261.000 1.354078E+19 8.657147E+11 0.000000E+00 2.039098E+16 0.000000E+00 0.000000E+00
     5.000  554.00000 267.000 1.505204E+19 8.280748E+11 0.000000E+00 3.342783E+16 0.000000E+00 0.000000E+00
     4.000  628.00000 273.000 1.669480E+19 8.029817E+11 0.000000E+00 6.351287E+16 0.000000E+00 0.000000E+00
     3.000  710.00000 279.000 1.846489E+19 7.778885E+11 0.000000E+00 1.103118E+17 0.000000E+00 0.000000E+00
     2.000  802.00000 285.000 2.036649E+19 7.527954E+11 0.000000E+00 1.972242E+17 0.000000E+00 0.000000E+00
     1.000  902.00000 290.000 2.254361E+19 7.527954E+11 0.000000E+00 3.108788E+17 0.000000E+00 0.000000E+00
     0.000 1013.00000 294.000 2.486060E+19 7.527954E+11 0.000000E+00 4.679896E+17 0.000000E+00 0.000000E+00
