#MIDLATITUDE WINTER (McClatchey et al., 1972, Environ. Res. Pap. 411) 
# zd(km), press(hPa), temper(K), air(#/cm^3), o3(#/cm^3), o2(#/cm^3), h2o(#/cm^3), co2(#/cm^3), no2(#/cm^3)
   100.000    0.00030 210.200 1.043686E+13 5.395033E+05 0.000000E+00 3.342783E+07 0.000000E+00 0.000000E+00
    70.000    0.04670 230.700 1.471806E+15 1.079007E+09 0.000000E+00 4.679896E+09 0.000000E+00 0.000000E+00
    50.000    0.68200 265.700 1.869033E+16 5.395034E+10 0.000000E+00 2.105953E+11 0.000000E+00 0.000000E+00
    45.000    1.29000 258.500 3.634114E+16 1.631057E+11 0.000000E+00 6.351287E+11 0.000000E+00 0.000000E+00
    40.000    2.53000 243.200 7.566722E+16 5.144102E+11 0.000000E+00 1.437397E+12 0.000000E+00 0.000000E+00
    35.000    5.18000 227.800 1.654033E+17 1.154286E+12 0.000000E+00 3.677061E+12 0.000000E+00 0.000000E+00
    30.000   11.10000 217.400 3.721784E+17 2.383852E+12 0.000000E+00 1.203402E+13 0.000000E+00 0.000000E+00
    25.000   24.30000 215.200 8.245118E+17 4.265840E+12 0.000000E+00 2.239664E+13 0.000000E+00 0.000000E+00
    24.000   28.60000 215.200 9.652007E+17 4.516772E+12 0.000000E+00 2.005670E+13 0.000000E+00 0.000000E+00
    23.000   33.40000 215.200 1.130312E+18 4.893170E+12 0.000000E+00 1.805103E+13 0.000000E+00 0.000000E+00
    22.000   39.10000 215.200 1.322976E+18 5.395033E+12 0.000000E+00 1.704819E+13 0.000000E+00 0.000000E+00
    21.000   45.80000 215.200 1.549039E+18 5.395033E+12 0.000000E+00 1.704819E+13 0.000000E+00 0.000000E+00
    20.000   53.70000 215.200 1.813926E+18 5.645965E+12 0.000000E+00 1.504252E+13 0.000000E+00 0.000000E+00
    19.000   62.80000 215.200 2.122857E+18 5.395033E+12 0.000000E+00 1.637964E+13 0.000000E+00 0.000000E+00
    18.000   73.50000 215.700 2.479798E+18 5.144102E+12 0.000000E+00 1.671391E+13 0.000000E+00 0.000000E+00
    17.000   86.10000 216.200 2.897272E+18 4.893170E+12 0.000000E+00 1.871958E+13 0.000000E+00 0.000000E+00
    16.000  100.70000 216.700 3.381542E+18 4.516772E+12 0.000000E+00 2.139381E+13 0.000000E+00 0.000000E+00
    15.000  117.80000 217.200 3.945132E+18 4.265840E+12 0.000000E+00 2.540515E+13 0.000000E+00 0.000000E+00
    14.000  137.80000 217.700 4.604742E+18 4.014909E+12 0.000000E+00 3.342783E+13 0.000000E+00 0.000000E+00
    13.000  161.00000 218.200 5.368720E+18 3.763977E+12 0.000000E+00 6.017009E+13 0.000000E+00 0.000000E+00
    12.000  188.20000 218.700 6.260027E+18 3.262113E+12 0.000000E+00 2.005670E+14 0.000000E+00 0.000000E+00
    11.000  219.89999 219.200 7.297452E+18 2.634784E+12 0.000000E+00 2.306520E+14 0.000000E+00 0.000000E+00
    10.000  256.79999 219.700 8.499777E+18 2.007454E+12 0.000000E+00 2.507087E+14 0.000000E+00 0.000000E+00
     9.000  299.20001 225.700 9.641570E+18 1.505591E+12 0.000000E+00 5.348453E+14 0.000000E+00 0.000000E+00
     8.000  347.29999 231.700 1.090026E+19 1.129193E+12 0.000000E+00 1.169974E+15 0.000000E+00 0.000000E+00
     7.000  401.60001 237.700 1.228627E+19 9.660874E+11 0.000000E+00 2.841365E+15 0.000000E+00 0.000000E+00
     6.000  462.70001 243.700 1.380588E+19 8.029817E+11 0.000000E+00 7.019844E+15 0.000000E+00 0.000000E+00
     5.000  531.29999 249.700 1.546951E+19 7.277022E+11 0.000000E+00 1.270257E+16 0.000000E+00 0.000000E+00
     4.000  608.09998 255.700 1.728761E+19 6.147829E+11 0.000000E+00 2.206237E+16 0.000000E+00 0.000000E+00
     3.000  693.79999 261.700 1.926644E+19 6.147829E+11 0.000000E+00 4.011340E+16 0.000000E+00 0.000000E+00
     2.000  789.70001 265.200 2.164604E+19 6.147829E+11 0.000000E+00 6.017009E+16 0.000000E+00 0.000000E+00
     1.000  897.29999 268.700 2.425526E+19 6.775158E+11 0.000000E+00 8.356957E+16 0.000000E+00 0.000000E+00
     0.000 1018.00000 272.200 2.715671E+19 7.527954E+11 0.000000E+00 1.169974E+17 0.000000E+00 0.000000E+00
